File,Line,Code
"qa/tests/lib-paytabs.create-payment.custom-base.spec.ts",66,"console.error = (() => {}) as any;"
"qa/tests/lib-paytabs.create-payment.custom-base.spec.ts",93,"console.error = originalConsoleError;"
"qa/consoleHijack.ts",8,"console.error = wrap('error');"
"qa/AutoFixAgent.tsx",86,"haltAndHeal('console', rec.args?.[0]?.message || String(rec.args?.[0] || 'console.error'));"
"lib/errors/secureErrorResponse.ts",87,"console.error('[Secure Error Handler]', {"
"lib/mongo.ts",70,"console.error('ERROR: mongoose.connect() failed:', err?.message || err);"
"lib/mongo.ts",103,"console.error('Database connection error:', {"
"lib/paytabs.js",85,"console.error('PayTabs error:', error);"
"lib/paytabs.js",108,"console.error('PayTabs verification error:', error);"
"lib/db/index.ts",131,"console.error(`  ✗ Failed to create indexes for ${collection}:`, error);"
"lib/zatca.ts",43,"console.error('QR Code generation error:', error);"
"lib/edge-auth-middleware.ts",70,"console.error('Authentication error:', error);"
"lib/marketplace/serverFetch.ts",95,"console.error('[MarketplaceFetch] request failed', errorPayload);"
"lib/AutoFixManager.ts",254,"console.error(`❌ Fix failed for ${check.name}:`, fixError);"
"lib/aws-secrets.ts",41,"console.error(`Failed to retrieve secret ${secretName}:`, error);"
"lib/database.ts",32,"console.error('❌ Error during database cleanup:', error);"
"lib/database.ts",49,"console.error('💥 Uncaught exception:', error);"
"lib/database.ts",55,"console.error('💥 Unhandled rejection at:', promise, 'reason:', reason);"
"lib/auth.ts",38,"console.error(errorMessage);"
"lib/auth.ts",41,"console.error('Authentication system cannot start without User model in production');"
"lib/auth.ts",71,"console.error('🚨 FATAL: JWT_SECRET is not configured in production environment');"
"lib/auth.ts",72,"console.error('🚨 Application cannot start without JWT_SECRET in production');"
"lib/paytabs/core.ts",132,"console.error('PayTabs error:', error);"
"lib/paytabs/core.ts",163,"console.error('PayTabs verification error:', error);"
"lib/paytabs.ts",119,"console.error('PayTabs error:', error);"
"lib/paytabs.ts",146,"console.error('PayTabs verification error:', error);"
"lib/mongodb-unified.ts",64,"console.error('❌ MongoDB connection error:', error);"
"lib/mongodb-unified.ts",90,"console.error('Database health check failed:', error);"
"analyze-pr-comments.js",15,"console.error(`Error executing command: ${command}`);"
"analyze-pr-comments.js",16,"console.error(error.message);"
"analyze-pr-comments.js",26,"console.error('❌ فشل في جلب قائمة Pull Requests');"
"analyze-pr-comments.js",139,"console.error(`\n❌ خطأ في معالجة PR #${prNumber}: ${error.message}`);"
"tests/api/marketplace/search.route.impl.ts",100,"console.error('search error', error);"
"tests/api/marketplace/search.route.test.ts",15,"const originalConsoleError = console.error;"
"tests/api/marketplace/search.route.test.ts",19,"console.error = vi.fn();"
"tests/api/marketplace/search.route.test.ts",23,"console.error = originalConsoleError;"
"tests/unit/components/ErrorBoundary.test.tsx",141,"(console.error as ReturnType<typeof vi.fn>).mockRestore?.();"
"tests/setup.ts",76,"console.error('Unhandled Rejection at:', promise, 'reason:', reason);"
"tests/paytabs.test.ts",324,"expect(console.error).toHaveBeenCalled();"
